#Flux file (2D) for RDK2
# measurments by Jeff Nico
# extracted and reformatted by Matthew Bales
#Transposed Field (1=true,0=false)
0
# [Start(cm)] [Spacing (cm)] [# of Entries]
-1.49 0.06 150
-1.49 0.06 150
# [x(cm)][y(cm)][Potential (V)]
-1.450000e+00 -1.900000e-01 1.696947e-03
-1.450000e+00 -1.700000e-01 1.069120e-02
-1.450000e+00 -1.500000e-01 1.720425e-03
-1.450000e+00 -1.300000e-01 0.000000e+00
-1.450000e+00 -1.100000e-01 5.294407e-04
-1.450000e+00 -9.000000e-02 8.353293e-04
-1.450000e+00 -7.000000e-02 0.000000e+00
-1.450000e+00 -5.000000e-02 1.509316e-03
-1.450000e+00 -3.000000e-02 1.921064e-03
-1.450000e+00 -1.000000e-02 2.034482e-03
-1.450000e+00 1.000000e-02 0.000000e+00
-1.450000e+00 3.000000e-02 9.307724e-04
-1.450000e+00 5.000000e-02 1.184373e-03
-1.450000e+00 7.000000e-02 4.532430e-04
-1.450000e+00 9.000000e-02 2.970952e-03
-1.450000e+00 1.100000e-01 1.118643e-03
-1.450000e+00 1.300000e-01 4.796562e-03
-1.450000e+00 1.500000e-01 0.000000e+00
-1.450000e+00 1.700000e-01 0.000000e+00
-1.450000e+00 1.900000e-01 4.037893e-04
-1.450000e+00 2.100000e-01 0.000000e+00
-1.450000e+00 2.300000e-01 5.685530e-04
-1.450000e+00 2.500000e-01 4.030848e-04
-1.450000e+00 2.700000e-01 8.456900e-04
-1.450000e+00 2.900000e-01 0.000000e+00
-1.450000e+00 3.100000e-01 7.739809e-04
-1.450000e+00 3.300000e-01 2.204144e-03
-1.450000e+00 3.500000e-01 0.000000e+00
-1.450000e+00 3.700000e-01 0.000000e+00
-1.450000e+00 3.900000e-01 0.000000e+00
-1.450000e+00 4.100000e-01 1.141399e-03
-1.450000e+00 4.300000e-01 0.000000e+00
-1.450000e+00 4.500000e-01 9.887675e-04
-1.450000e+00 4.700000e-01 0.000000e+00
-1.450000e+00 4.900000e-01 7.866211e-05
-1.450000e+00 5.100000e-01 0.000000e+00
-1.450000e+00 5.300000e-01 4.796320e-04
-1.450000e+00 5.500000e-01 0.000000e+00
-1.450000e+00 5.700000e-01 0.000000e+00
-1.450000e+00 5.900000e-01 0.000000e+00
-1.450000e+00 6.100000e-01 0.000000e+00
-1.450000e+00 6.300000e-01 0.000000e+00
-1.450000e+00 6.500000e-01 1.145091e-04
-1.450000e+00 6.700000e-01 0.000000e+00
-1.450000e+00 6.900000e-01 2.250434e-04
-1.450000e+00 7.100000e-01 3.376989e-04
-1.450000e+00 7.300000e-01 1.399468e-03
-1.450000e+00 7.500000e-01 0.000000e+00
-1.450000e+00 7.700000e-01 3.349047e-04
-1.450000e+00 7.900000e-01 0.000000e+00
-1.450000e+00 8.100000e-01 0.000000e+00
-1.450000e+00 8.300000e-01 3.034734e-03
-1.450000e+00 8.500000e-01 0.000000e+00
-1.450000e+00 8.700000e-01 0.000000e+00
-1.450000e+00 8.900000e-01 0.000000e+00
-1.450000e+00 9.100000e-01 0.000000e+00
-1.450000e+00 9.300000e-01 1.409669e-04
-1.450000e+00 9.500000e-01 1.630664e-03
-1.450000e+00 9.700000e-01 0.000000e+00
-1.450000e+00 9.900000e-01 0.000000e+00
-1.450000e+00 1.010000e+00 0.000000e+00
-1.450000e+00 1.030000e+00 0.000000e+00
-1.450000e+00 1.050000e+00 1.055042e-03
-1.450000e+00 1.070000e+00 2.765671e-04
-1.450000e+00 1.090000e+00 3.728818e-05
-1.450000e+00 1.110000e+00 3.778375e-03
-1.450000e+00 1.130000e+00 0.000000e+00
-1.450000e+00 1.150000e+00 0.000000e+00
-1.450000e+00 1.170000e+00 0.000000e+00
-1.450000e+00 1.190000e+00 0.000000e+00
-1.450000e+00 1.210000e+00 0.000000e+00
-1.450000e+00 1.230000e+00 0.000000e+00
-1.450000e+00 1.250000e+00 4.705598e-03
-1.450000e+00 1.270000e+00 0.000000e+00
-1.450000e+00 1.290000e+00 0.000000e+00
-1.450000e+00 1.310000e+00 3.558141e-04
-1.450000e+00 1.330000e+00 0.000000e+00
-1.450000e+00 1.350000e+00 0.000000e+00
-1.450000e+00 1.370000e+00 0.000000e+00
-1.450000e+00 1.390000e+00 0.000000e+00
-1.450000e+00 1.410000e+00 0.000000e+00
-1.450000e+00 1.430000e+00 1.477018e-03
-1.450000e+00 1.450000e+00 0.000000e+00
-1.450000e+00 1.470000e+00 0.000000e+00
-1.450000e+00 1.490000e+00 0.000000e+00
-1.430000e+00 -1.490000e+00 1.489804e-03
-1.430000e+00 -1.470000e+00 0.000000e+00
-1.430000e+00 -1.450000e+00 1.023381e-02
-1.430000e+00 -1.430000e+00 2.461028e-03
-1.430000e+00 -1.410000e+00 0.000000e+00
-1.430000e+00 -1.390000e+00 0.000000e+00
-1.430000e+00 -1.370000e+00 0.000000e+00
-1.430000e+00 -1.350000e+00 0.000000e+00
-1.430000e+00 -1.330000e+00 0.000000e+00
-1.430000e+00 -1.310000e+00 0.000000e+00
-1.430000e+00 -1.290000e+00 0.000000e+00
-1.430000e+00 -1.270000e+00 0.000000e+00
-1.430000e+00 -1.250000e+00 0.000000e+00
-1.430000e+00 -1.230000e+00 0.000000e+00
-1.430000e+00 -1.210000e+00 0.000000e+00
